filename,final_value,folder,col
format_1_6319_065_1_19_dl.png,27.3,6319,1
format_1_7715_192_1_18_dl.png,32.4,7715,1
format_1_6366_136_8_27_dl.png,0,6366,8
format_1_7012_201_1_26_dl.png,24.2,7012,1
format_1_6610_102_8_3_dl.png,2.8,6610,8
format_1_6502_060_2_19_dl.png,18,6502,2
format_1_6374_097_2_5_dl.png,22.4,6374,2
format_1_6502_039_8_20_dl.png,18.8,6502,8
format_1_7917_040_1_11_dl.png,26,7917,1
format_1_6447_042_2_27_dl.png,18.3,6447,2
format_1_6751_077_1_6_dl.png,32.9,6751,1
format_1_6443_057_2_25_dl.png,20.3,6443,2
format_1_6317_071_2_21_dl.png,17.2,6317,2
format_1_7851_070_1_31_dl.png,24.2,7851,1
format_1_6751_056_1_20_dl.png,30,6751,1
format_1_7294_117_1_29_dl.png,34.1,7294,1
format_1_6898_090_2_11_dl.png,14.8,6898,2
format_1_6425_093_2_18_dl.png,21.4,6425,2
format_1_7796_057_1_10_dl.png,28.6,7796,1
format_1_6460_056_2_10_dl.png,21.1,6460,2
format_1_7012_190_8_8_dl.png,18.4,7012,8
format_1_6771_070_1_19_dl.png,31,6771,1
format_1_6415_010_1_21_dl.png,30.2,6415,1
format_1_7769_070_2_20_dl.png,19,7769,2
format_1_6366_177_1_2_dl.png,29.3,6366,1
format_1_6637_056_1_6_dl.png,25.8,6637,1
format_1_6610_106_2_6_dl.png,21,6610,2
format_1_6443_031_1_13_dl.png,31,6443,1
format_1_6814_087_2_4_dl.png,16.7,6814,2
format_1_6319_091_2_24_dl.png,20,6319,2
format_1_6118_084_1_11_dl.png,31,6118,1
format_1_6898_004_2_14_dl.png,15,6898,2
format_1_6993_067_2_3_dl.png,14,6993,2
format_1_6374_097_8_26_dl.png,2.3,6374,8
format_1_6730_057_1_3_dl.png,29.3,6730,1
format_1_6898_054_2_14_dl.png,15.6,6898,2
format_1_6554_067_1_2_dl.png,28.4,6554,1
format_1_7028_033_1_24_dl.png,24,7028,1
format_1_6416_040_2_24_dl.png,21.7,6416,2
format_1_7028_075_2_14_dl.png,14.3,7028,2
format_1_6898_063_1_20_dl.png,24.9,6898,1
format_1_6118_078_1_4_dl.png,25.4,6118,1
format_1_7786_013_2_9_dl.png,14.7,7786,2
format_1_6416_087_2_14_dl.png,18.5,6416,2
format_1_6374_087_1_27_dl.png,27.6,6374,1
format_1_6322_088_1_16_dl.png,29.7,6322,1
format_1_7786_041_1_28_dl.png,27.7,7786,1
format_1_6425_018_1_13_dl.png,29.3,6425,1
format_1_6844_008_8_12_dl.png,0,6844,8
format_1_6322_083_2_19_dl.png,20.5,6322,2
format_1_6319_094_8_26_dl.png,10.5,6319,8
format_1_6577_018_1_23_dl.png,34.2,6577,1
format_1_7766_074_2_3_dl.png,21.5,7766,2
format_1_6120_075_8_2_dl.png,0,6120,8
format_1_6322_024_8_19_dl.png,0,6322,8
format_1_6751_065_2_6_dl.png,19.7,6751,2
format_1_7917_073_1_20_dl.png,27,7917,1
format_1_6898_082_2_4_dl.png,14.8,6898,2
format_1_6993_076_8_26_dl.png,0.2,6993,8
format_1_6416_122_1_11_dl.png,30.8,6416,1
format_1_6350_064_8_28_dl.png,2.8,6350,8
format_1_7786_017_1_31_dl.png,30.3,7786,1
format_1_6898_050_2_26_dl.png,15,6898,2
format_1_6751_102_2_28_dl.png,19,6751,2
format_1_7786_097_1_11_dl.png,31.5,7786,1
format_1_6416_087_2_24_dl.png,20.5,6416,2
format_1_6637_041_2_16_dl.png,19.1,6637,2
format_1_6350_100_2_3_dl.png,19.3,6350,2
format_1_7765_199_2_29_dl.png,20.8,7765,2
format_1_7718_156_2_16_dl.png,17.2,7718,2
format_1_7917_088_8_29_dl.png,12.8,7917,8
format_1_7917_071_8_4_dl.png,1.2,7917,8
format_1_6443_090_1_9_dl.png,30.9,6443,1
format_1_6350_060_1_21_dl.png,33.5,6350,1
format_1_7718_104_1_4_dl.png,33.4,7718,1
format_1_6366_216_1_9_dl.png,33.5,6366,1
format_1_6366_176_1_20_dl.png,31.5,6366,1
format_1_6428_036_2_27_dl.png,21,6428,2
format_1_6554_063_1_5_dl.png,31.7,6554,1
format_1_6443_042_8_22_dl.png,7.6,6443,8
format_1_6751_133_8_20_dl.png,84.3,6751,8
format_1_7851_046_1_13_dl.png,24.2,7851,1
format_1_7294_155_2_29_dl.png,20.1,7294,2
format_1_6554_060_1_2_dl.png,29,6554,1
format_1_6730_048_8_30_dl.png,1,6730,8
format_1_6317_011_8_1_dl.png,5,6317,8
format_1_6425_042_1_17_dl.png,28.4,6425,1
format_1_7294_122_8_16_dl.png,1.2,7294,8
format_1_7766_039_8_20_dl.png,6.6,7766,8
format_1_6577_111_1_31_dl.png,28.3,6577,1
format_1_6577_110_2_22_dl.png,16.8,6577,2
format_1_7796_079_2_7_dl.png,17.5,7796,2
format_1_6610_074_1_2_dl.png,34.4,6610,1
format_1_6502_022_8_19_dl.png,0,6502,8
format_1_6317_043_8_12_dl.png,60.6,6317,8
format_1_6415_011_2_17_dl.png,20.6,6415,2
format_1_6120_048_2_15_dl.png,19.9,6120,2
format_1_7012_216_2_14_dl.png,14,7012,2
format_1_6502_083_2_7_dl.png,21.4,6502,2
format_1_7718_164_1_17_dl.png,30,7718,1
format_1_7766_072_2_10_dl.png,19.5,7766,2
format_1_6322_022_8_23_dl.png,0,6322,8
format_1_7294_119_1_28_dl.png,36.8,7294,1
format_1_6460_067_2_16_dl.png,20.2,6460,2
format_1_6736_060_1_1_dl.png,30.1,6736,1
format_1_6993_079_8_12_dl.png,1,6993,8
format_1_6637_065_2_31_dl.png,20,6637,2
format_1_6993_080_8_7_dl.png,7.1,6993,8
format_1_6374_040_1_3_dl.png,25,6374,1
format_1_6814_083_8_8_dl.png,12.4,6814,8
format_1_7917_091_8_4_dl.png,0.5,7917,8
format_1_6993_090_1_16_dl.png,27,6993,1
format_1_6554_058_8_24_dl.png,2.8,6554,8
format_1_6425_050_1_25_dl.png,28.2,6425,1
format_1_7786_017_2_9_dl.png,19,7786,2
format_1_6415_015_2_16_dl.png,22,6415,2
format_1_6366_171_1_25_dl.png,29.4,6366,1
format_1_7851_060_2_18_dl.png,13.8,7851,2
format_1_7796_032_1_27_dl.png,32.8,7796,1
format_1_7765_201_1_18_dl.png,29.7,7765,1
format_1_6428_067_2_31_dl.png,20.2,6428,2
format_1_6736_101_2_17_dl.png,20.2,6736,2
format_1_6416_092_8_23_dl.png,14.4,6416,8
format_1_6447_064_2_19_dl.png,17.2,6447,2
format_1_6577_054_2_28_dl.png,19.5,6577,2
format_1_6844_055_1_25_dl.png,29.8,6844,1
format_1_6447_058_2_10_dl.png,18,6447,2
format_1_6428_040_1_19_dl.png,32.1,6428,1
format_1_7715_207_1_10_dl.png,32.8,7715,1
format_1_6374_108_8_4_dl.png,0,6374,8
format_1_7766_079_1_12_dl.png,31.7,7766,1
format_1_6993_036_1_6_dl.png,28,6993,1
format_1_6118_038_2_24_dl.png,22.6,6118,2
format_1_6425_068_2_13_dl.png,20.5,6425,2
format_1_6319_050_2_10_dl.png,15,6319,2
format_1_7851_095_1_4_dl.png,20.9,7851,1
format_1_7786_013_2_27_dl.png,18.3,7786,2
format_1_7294_120_2_30_dl.png,19.6,7294,2
format_1_6898_048_1_2_dl.png,26.7,6898,1
format_1_6350_069_2_3_dl.png,12.8,6350,2
format_1_6350_053_1_6_dl.png,32.2,6350,1
format_1_6637_100_2_1_dl.png,20,6637,2
format_1_6771_062_1_31_dl.png,36,6771,1
format_1_6366_139_1_6_dl.png,33.4,6366,1
format_1_6416_013_2_3_dl.png,19.8,6416,2
format_1_6322_077_2_14_dl.png,20.5,6322,2
format_1_6319_070_2_10_dl.png,20.5,6319,2
format_1_6428_092_8_25_dl.png,4.4,6428,8
format_1_6425_022_2_24_dl.png,21.1,6425,2
format_1_6366_132_1_18_dl.png,33.1,6366,1
format_1_6502_016_1_6_dl.png,32.5,6502,1
format_1_6415_027_2_22_dl.png,20.6,6415,2
format_1_6730_020_8_19_dl.png,0.4,6730,8
format_1_7718_062_1_3_dl.png,31.7,7718,1
format_1_6319_023_2_12_dl.png,11.1,6319,2
format_1_6844_056_2_18_dl.png,17.4,6844,2
format_1_6814_095_1_30_dl.png,28.4,6814,1
format_1_6771_070_1_7_dl.png,32,6771,1
format_1_6883_016_1_22_dl.png,28.6,6883,1
format_1_6577_084_1_4_dl.png,33.5,6577,1
format_1_6883_034_2_8_dl.png,14.9,6883,2
format_1_7718_102_1_13_dl.png,31.2,7718,1
format_1_6554_050_2_19_dl.png,20.5,6554,2
format_1_6118_098_1_1_dl.png,32.4,6118,1
format_1_6447_068_2_21_dl.png,20,6447,2
format_1_6577_082_2_1_dl.png,20.8,6577,2
format_1_6425_028_1_24_dl.png,28,6425,1
format_1_7769_088_1_16_dl.png,28.8,7769,1
format_1_7012_211_1_9_dl.png,24.6,7012,1
format_1_7012_142_1_8_dl.png,26.5,7012,1
format_1_6118_081_2_10_dl.png,18.3,6118,2
